IP,Hostname,City,Region,Country,Location,Organization,Postal Code,Timezone
71.73.84.23,syn-071-073-084-023.res.spectrum.com,Cleveland Heights,Ohio,US,"41.5200,-81.5562",AS10796 Charter Communications Inc,44118,America/New_York
73.253.185.148,c-73-253-185-148.hsd1.ct.comcast.net,Westford,Massachusetts,US,"42.5793,-71.4378","AS7922 Comcast Cable Communications, LLC",01886,America/New_York
174.168.51.95,c-174-168-51-95.hsd1.ct.comcast.net,Kensington,Connecticut,US,"41.6354,-72.7687","AS7922 Comcast Cable Communications, LLC",06037,America/New_York
69.253.185.201,c-69-253-185-201.hsd1.pa.comcast.net,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS7922 Comcast Cable Communications, LLC",19099,America/New_York
24.113.83.136,24-113-83-136.wavecable.com,Port Orchard,Washington,US,"47.5404,-122.6363",AS11404 Wave Broadband,98366,America/Los_Angeles
174.73.206.191,ip174-73-206-191.ph.ph.cox.net,Phoenix,Arizona,US,"33.4484,-112.0740",AS22773 Cox Communications Inc.,85001,America/Phoenix
174.64.78.79,wsip-174-64-78-79.ga.at.cox.net,Gainesville,Florida,US,"29.6516,-82.3248",AS22773 Cox Communications Inc.,32601,America/New_York
73.254.120.229,c-73-254-120-229.hsd1.wa.comcast.net,South Hill,Washington,US,"47.1412,-122.2701","AS7922 Comcast Cable Communications, LLC",98374,America/Los_Angeles
173.70.230.49,pool-173-70-230-49.nwrknj.fios.verizon.net,Hillside,New Jersey,US,"40.7012,-74.2301",AS701 Verizon Business,07205,America/New_York
207.228.39.253,,Ashburn,Virginia,US,"39.0437,-77.4875","AS7018 AT&T Services, Inc.",20147,America/New_York
35.145.102.104,syn-035-145-102-104.res.spectrum.com,Winter Garden,Florida,US,"28.5423,-81.5911","AS33363 Charter Communications, Inc",34787,America/New_York
24.243.243.153,syn-024-243-243-153.res.spectrum.com,Copperas Cove,Texas,US,"31.1241,-97.9031",AS11427 Charter Communications Inc,76522,America/Chicago
172.58.209.20,,Los Angeles,California,US,"34.0522,-118.2437","AS21928 T-Mobile USA, Inc.",90009,America/Los_Angeles
172.58.131.246,,Miami,Florida,US,"25.7743,-80.1937","AS21928 T-Mobile USA, Inc.",33101,America/New_York
131.93.150.196,syn-131-093-150-196.res.spectrum.com,Ironwood,Michigan,US,"46.4547,-90.1710",AS20115 Charter Communications,49938,America/Menominee
76.234.152.222,76-234-152-222.lightspeed.lsvlky.sbcglobal.net,Saint Dennis,Kentucky,US,"38.1884,-85.8458","AS7018 AT&T Services, Inc.",40216,America/Kentucky/Louisville
76.37.26.47,syn-076-037-026-047.res.spectrum.com,Buffalo,New York,US,"42.8840,-78.8597",AS11351 Charter Communications Inc,14204,America/New_York
204.14.36.70,204-14-36-70.customers.everywherewireless.com,Chicago,Illinois,US,"41.8500,-87.6500","AS17210 Everywhere Wireless, LLC",60666,America/Chicago
96.227.101.106,pool-96-227-101-106.phlapa.fios.verizon.net,Morrisville,Pennsylvania,US,"40.2115,-74.7879",AS701 Verizon Business,19067,America/New_York
68.132.11.116,pool-68-132-11-116.nycmny.fios.verizon.net,Great Kills,New York,US,"40.5543,-74.1515",AS701 Verizon Business,10308,America/New_York
172.56.186.4,,Los Angeles,California,US,"34.0522,-118.2437","AS21928 T-Mobile USA, Inc.",90009,America/Los_Angeles
172.56.208.82,,Las Vegas,Nevada,US,"36.1750,-115.1372","AS21928 T-Mobile USA, Inc.",89111,America/Los_Angeles
8.15.177.199,,Wilson,North Carolina,US,"35.7213,-77.9155",AS18624 Greenlight,27893,America/New_York
67.191.8.106,c-67-191-8-106.hsd1.fl.comcast.net,West Palm Beach,Florida,US,"26.7153,-80.0534","AS7922 Comcast Cable Communications, LLC",33402,America/New_York
104.6.133.37,104-6-133-37.lightspeed.miamfl.sbcglobal.net,Princeton,Florida,US,"25.5384,-80.4089","AS7018 AT&T Services, Inc.",33032,America/New_York
50.90.148.98,syn-050-090-148-098.res.spectrum.com,Indianapolis,Indiana,US,"39.8082,-86.1014","AS33363 Charter Communications, Inc",46218,America/Indiana/Indianapolis
73.165.25.88,c-73-165-25-88.hsd1.pa.comcast.net,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS7922 Comcast Cable Communications, LLC",19099,America/New_York
75.232.119.52,52.sub-75-232-119.myvzw.com,Hoover,Alabama,US,"33.4054,-86.8114",AS6167 Verizon Business,35216,America/Chicago
108.174.185.162,108.174.185.162.douglasfast.net,Sutherlin,Oregon,US,"43.3901,-123.3126",AS13692 Douglas FastNet,97479,America/Los_Angeles
173.22.104.154,173-22-104-154.client.mchsi.com,Monroeville,Alabama,US,"31.5153,-87.3410",AS30036 Mediacom Communications Corp,36460,America/Chicago
47.148.86.72,47-148-86-72.lsan.ca.frontiernet.net,Norwalk,California,US,"33.9022,-118.0817","AS5650 Frontier Communications of America, Inc.",90650,America/Los_Angeles
142.214.155.139,,Seattle,Washington,US,"47.6062,-122.3321",AS21743 Atlas Networks Corporation,98101,America/Los_Angeles
73.197.236.224,c-73-197-236-224.hsd1.nj.comcast.net,Willingboro,New Jersey,US,"40.0279,-74.8691","AS7922 Comcast Cable Communications, LLC",08046,America/New_York
104.174.211.112,syn-104-174-211-112.res.spectrum.com,Covina,California,US,"34.0900,-117.8903",AS20001 Charter Communications Inc,91723,America/Los_Angeles
138.229.235.120,syn-138-229-235-120.res.spectrum.com,Monterey Park,California,US,"34.0534,-118.1271",AS20115 Charter Communications,91754,America/Los_Angeles
108.165.115.135,,Washington,"Washington, D.C.",US,"38.8951,-77.0364",AS174 Cogent Communications,20004,America/New_York
142.255.126.79,syn-142-255-126-079.res.spectrum.com,Queens Village,New York,US,"40.7090,-73.7401",AS12271 Charter Communications Inc,11429,America/New_York
108.41.188.44,pool-108-41-188-44.nycmny.fios.verizon.net,New York City,New York,US,"40.7143,-74.0060",AS701 Verizon Business,10001,America/New_York
76.138.47.238,c-76-138-47-238.hsd1.ms.comcast.net,Jackson,Mississippi,US,"32.3553,-90.2171","AS7922 Comcast Cable Communications, LLC",39213,America/Chicago
